user_id,date,amount,type,category,subcategory,payment_method,description
USER_001,2021-01-01,5000000,income,Salary,gaji bulanan,debit,Pembayaran gaji bulanan
USER_001,2021-01-01,14500,expense,Others,donasi,debit,Pembayaran donasi
USER_001,2021-01-01,79000,expense,Food,fast food,e-wallet,Pembayaran fast food
USER_001,2021-01-01,50000,expense,Bills,pulsa,debit,Pembayaran pulsa
USER_001,2021-01-02,10000,expense,Food,kopi,cash,Pembayaran kopi
USER_001,2021-01-02,120000,expense,Shopping,minimarket,cash,Pembayaran minimarket
USER_001,2021-01-03,84000,expense,Food,restoran,cash,Pembayaran restoran
USER_001,2021-01-03,22000,expense,Food,warung,e-wallet,Pembayaran warung
USER_001,2021-01-03,10000,expense,Food,kopi,e-wallet,Pembayaran kopi
USER_001,2021-01-03,20000,expense,Transport,bensin,e-wallet,Pembayaran bensin
USER_001,2021-01-03,65000,expense,Entertainment,netflix,e-wallet,Pembayaran netflix
USER_001,2021-01-04,2000,expense,Transport,parkir,cash,Pembayaran parkir
USER_001,2021-01-04,85000,expense,Bills,listrik,cash,Pembayaran listrik
USER_001,2021-01-04,17000,expense,Transport,ojek online,cash,Pembayaran ojek online
USER_001,2021-01-05,64000,expense,Food,fast food,cash,Pembayaran fast food
USER_001,2021-01-05,15000,expense,Food,kopi,cash,Pembayaran kopi
USER_001,2021-01-06,90000,expense,Food,fast food,e-wallet,Pembayaran fast food
USER_001,2021-01-07,12500,expense,Food,warung,cash,Pembayaran warung
USER_001,2021-01-07,20000,expense,Food,kopi,cash,Pembayaran kopi
USER_001,2021-01-07,27500,expense,Food,warung,e-wallet,Pembayaran warung
USER_001,2021-01-07,87500,expense,Shopping,pakaian,cash,Pembayaran pakaian
USER_001,2021-01-08,10500,expense,Transport,ojek online,cash,Pembayaran ojek online
USER_001,2021-01-08,18500,expense,Transport,ojek online,e-wallet,Pembayaran ojek online
USER_001,2021-01-08,17500,expense,Transport,ojek online,debit,Pembayaran ojek online
USER_001,2021-01-08,80000,expense,Entertainment,spotify,debit,Pembayaran spotify
USER_001,2021-01-08,10000,expense,Food,kopi,e-wallet,Pembayaran kopi
USER_001,2021-01-08,2000,expense,Transport,parkir,cash,Pembayaran parkir
USER_001,2021-01-08,79500,expense,Bills,air,cash,Pembayaran air
USER_001,2021-01-09,13500,expense,Transport,ojek online,e-wallet,Pembayaran ojek online
USER_001,2021-01-09,12500,expense,Transport,ojek online,e-wallet,Pembayaran ojek online
USER_001,2021-01-10,42500,expense,Transport,bensin,debit,Pembayaran bensin
USER_001,2021-01-10,10000,expense,Food,kopi,e-wallet,Pembayaran kopi
USER_001,2021-01-11,47500,expense,Transport,bensin,cash,Pembayaran bensin
USER_001,2021-01-11,29000,expense,Food,warung,e-wallet,Pembayaran warung
USER_001,2021-01-11,22000,expense,Transport,bensin,cash,Pembayaran bensin
USER_001,2021-01-11,93500,expense,Food,fast food,cash,Pembayaran fast food
USER_001,2021-01-12,41000,expense,Others,lainnya,debit,Pembayaran lainnya
USER_001,2021-01-12,16500,expense,Transport,ojek online,debit,Pembayaran ojek online
USER_001,2021-01-12,73500,expense,Food,fast food,cash,Pembayaran fast food
USER_001,2021-01-12,20000,expense,Transport,ojek online,debit,Pembayaran ojek online
USER_001,2021-01-13,65000,expense,Entertainment,netflix,cash,Pembayaran netflix
USER_001,2021-01-13,124500,expense,Food,restoran,e-wallet,Pembayaran restoran
USER_001,2021-01-13,79500,expense,Food,fast food,e-wallet,Pembayaran fast food
USER_001,2021-01-13,21500,expense,Transport,bensin,e-wallet,Pembayaran bensin
USER_001,2021-01-13,22000,expense,Food,warung,e-wallet,Pembayaran warung
USER_001,2021-01-14,28500,expense,Food,warung,cash,Pembayaran warung
USER_001,2021-01-15,132000,expense,Food,restoran,cash,Pembayaran restoran
USER_001,2021-01-15,85500,expense,Food,restoran,e-wallet,Pembayaran restoran
USER_001,2021-01-15,24500,expense,Transport,bensin,cash,Pembayaran bensin
USER_001,2021-01-16,50000,expense,Bills,pulsa,debit,Pembayaran pulsa
USER_001,2021-01-17,89000,expense,Shopping,minimarket,e-wallet,Pembayaran minimarket
USER_001,2021-01-17,20000,expense,Food,kopi,cash,Pembayaran kopi
USER_001,2021-01-17,58500,expense,Food,fast food,e-wallet,Pembayaran fast food
